Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
59.48,11.66,54.0,92,84,5.59,1601521043
59.24,163.07,46.92,80,98,4.36,1601521043
36.37,30.29,73.44,50,0,4.0,1601521044
14.9,-24.5,79.81,79,0,9.82,1601520909
-10.71,22.22,66.72,90,86,3.96,1601521044
59.7,150.17,52.84,56,0,1.81,1601521045
-9.01,-35.22,74.07,83,19,7.83,1601520789
-21.34,55.48,69.8,64,75,8.05,1601520943
-12.07,134.27,88.34,50,87,15.99,1601521045
36.26,2.75,68.0,94,40,2.93,1601521046
65.42,-52.9,30.0,82,0,7.76,1601521046
-13.7,-76.22,63.0,88,63,12.75,1601521047
-33.01,17.94,51.8,76,0,12.75,1601521047
63.84,-22.43,37.4,93,75,11.41,1601521047
46.33,132.21,59.02,54,0,2.37,1601521048
-0.91,122.88,84.43,65,76,6.71,1601521048
57.79,-152.41,51.8,87,90,17.22,1601521049
6.7,6.33,69.58,100,100,0.72,1601521049
-30.38,153.1,75.2,53,20,18.34,1601521049
62.67,135.6,40.51,68,100,5.14,1601521050
15.25,-61.38,82.0,79,56,17.92,1601521050
50.27,85.61,37.15,73,58,2.15,1601521050
19.22,-104.7,79.48,79,100,3.13,1601521051
-33.96,22.46,48.2,100,100,2.24,1601521051
42.98,144.37,64.4,63,75,4.7,1601520875
8.27,16.94,68.94,97,91,3.38,1601521052
-33.87,121.9,66.2,63,7,12.75,1601521052
66.0,111.5,26.6,86,90,4.47,1601521053
70.63,147.92,35.4,80,100,19.44,1601521053
43.18,13.79,59.0,85,0,4.45,1601521053
45.41,79.92,47.46,47,93,2.84,1601521054
-8.9,-35.15,74.44,84,24,8.19,1601521054
-10.07,-78.15,62.53,83,87,8.79,1601520944
38.42,-121.42,88.0,32,20,8.63,1601521054
78.22,15.64,35.6,93,40,4.7,1601521055
56.44,43.63,39.2,100,99,2.24,1601521055
18.73,-103.68,73.4,78,75,1.83,1601521055
49.78,-74.85,48.2,93,90,10.29,1601521055
-28.34,31.42,57.45,84,0,6.31,1601521056
-20.33,-40.29,79.0,88,20,11.41,1601520963
22.57,59.53,83.46,43,0,5.37,1601521056
22.29,114.16,84.0,72,99,5.01,1601521057
-3.8,102.27,87.4,58,8,3.0,1601521057
-6.88,112.21,87.85,58,5,3.2,1601521057
4.14,96.13,85.01,69,24,3.78,1601521058
33.19,-82.53,57.2,69,1,3.85,1601521058
7.62,-11.83,72.93,99,100,3.09,1601521058
62.23,-6.59,42.8,87,100,1.12,1601521059
20.5,-10.07,88.34,18,0,12.8,1601521059
68.12,13.5,51.73,83,22,6.2,1601521059
-17.47,16.33,62.6,34,0,3.36,1601521060
69.38,178.42,34.43,84,100,0.47,1601521060
-40.81,-63.0,46.65,71,0,10.22,1601521060
63.75,-68.51,30.2,63,5,9.17,1601520955
-7.47,-34.81,75.2,88,75,5.82,1601521061
64.9,45.76,46.94,95,100,4.52,1601521061
32.77,22.64,71.91,70,2,9.73,1601521062
-42.77,-65.04,52.56,43,3,23.02,1601521062
50.35,106.45,35.29,73,100,12.21,1601521062
-9.09,-78.58,61.75,85,92,7.78,1601520914
21.85,111.97,82.99,74,83,12.37,1601521063
44.93,130.53,58.48,50,0,3.4,1601521063
29.11,58.36,68.74,27,0,0.6,1601521064
33.05,-96.99,78.8,26,5,9.17,1601520873
32.76,-97.8,72.0,43,1,6.93,1601520769
50.68,156.12,52.27,80,49,6.98,1601521064
41.19,61.4,56.12,34,0,6.51,1601521065
-25.15,-57.35,86.65,27,5,6.67,1601521065
-17.35,-44.96,76.86,42,12,5.68,1601521065
20.7,-105.2,84.2,79,40,4.7,1601521066
41.76,86.15,57.92,29,98,5.73,1601520855
50.41,39.64,53.31,42,95,16.02,1601521066
-20.87,27.25,67.57,70,4,7.58,1601521066
7.53,-12.51,75.45,93,100,4.09,1601521067
46.49,135.88,57.52,50,100,0.89,1601521067
5.95,80.54,82.45,76,74,12.84,1601521068
60.14,-45.24,35.17,72,100,4.09,1601521068
54.72,158.62,55.11,47,23,4.97,1601521068
37.24,39.76,61.88,59,0,1.25,1601521068
54.15,45.26,50.11,73,92,5.53,1601521069
-6.84,-79.93,61.29,89,17,11.45,1601521069
59.53,33.92,45.79,88,12,5.82,1601521069
48.68,71.64,42.53,55,0,7.4,1601520948
-0.95,100.35,78.8,83,40,9.17,1601521070
-30.18,-50.21,69.3,92,35,5.88,1601521070
53.63,11.41,53.01,96,0,3.0,1601521070
27.73,-82.74,75.2,60,1,12.75,1601521071
17.83,-88.83,80.6,94,20,3.36,1601521071
47.17,-1.0,55.99,95,100,10.51,1601521071
41.37,-73.41,60.8,59,1,8.05,1601521072
32.67,-17.1,69.01,82,75,13.87,1601521072
-20.28,44.28,73.83,69,0,3.53,1601521073
63.37,47.92,46.76,96,100,5.5,1601521073
18.8,110.4,86.2,71,83,3.58,1601521073
63.05,179.32,41.61,78,99,11.25,1601521073
-5.13,32.53,66.2,77,20,11.41,1601521074
6.8,81.48,82.4,88,40,5.82,1601521074
-9.08,143.21,78.89,77,100,14.81,1601521075
48.67,6.15,53.6,93,100,3.36,1601520848
49.57,3.67,55.4,93,100,3.36,1601521075
